english term	urdu equivalent
incident, reflected, transmitted, refracted waves	آمدی موج، موج واقع، موج منعکس، ترسیلی موج، موج منعطف
incidently	اتفاقی طور پر، اتفاقاً
inclination:angle of inclination	زاویہ میلان
include	شامل کرنا
inclusion set	شمولی سلسلہ
inclusive: for x between a and b, inclusive, A>B	بشمول، بشمول الف اور ب اور ان کے بیچ ش کے لئے ۔۔۔
incoming, outgoing vector	آمدی، رخصتی سمتیہ
incompressibility	داب نا پذیری
incompatible observables (quantum mech)	غیر ہم آہنگ قابل مشاہدہ
increasing, decreasing	بڑھتا، گھٹتا
increment, decrement	بڑھوتری، کٹوتی،  کمی، بیشی، کم، بیش
indeed	یقیناً، درحقیقت
Index (of a book)	فرہنگ
index (m=0,1,2,..)	اشاریہ
index number	شمارہ اشاری
index of refraction (light)	انحرافی مستقل
indicial equation	اشاری مساوات
indirect method	بالواسطہ ترکیب
inductive, capacitive	کپیسٹر خاصیت یا امالہ خاصیت رکھنا، امالی، برق گیری
induce	مائل کرنا
induced	امالی
induced voltage	امالی دباؤ
inductance, inductor	امالہ یا امالیت، امالہ گیر
induction: mathematical induction	الکراجی ماخوذ، ریاضی ماخوذ
induction coil	امالی لچّھا
induction motor, squirrel cage induction motor	پنجرہ نما امالی موٹر
inductivity	امالیت
inductor	امالہ گیر
industry	صنعت، کارخانہ
inertia	جمود
inertial frame	جمودی  چھوکٹ
infinite; finite	لامتناہی؛ متناہی
infinitesimal	لامتناہی چھوٹا
inflection point	نقطہ تصریف
infrared	زیریں سرخ، زیر بصری شعاع، زیریں بصری شعاع
initial conditions	ابتدائی حالت، ابتدائی شرائط
initial value: initial value problem	ابتدائی قیمت: ابتدائی قیمت سوال
initialize	ابتدائی صورت، ابتدا
initially	آغاز میں
injection	ٹیکہ
inner product, inner product space	اندرونی ضرب، اندرونی ضرب فضا
input (the thing that is being input), output	درآئدہ، ماحصل
input bias current	داخلی میلان برقی رو
input offset current	داخلی انحرافی برقی ر
input offset voltage	داخلی انحرافی برقی دباؤ
input, input pin, input port	درآمد، درآمدی پنیہ، درآمدی راہ
Input-output	مدخل و مخرج
input, output, 3-inputs gate	درآمد، برآمد، تین درآمدی گیٹ
input offset voltage, output offset voltage	داخلی انحرافی برقی دباؤ، خارجی انحرافی برقی دباؤ
inscribed circle (matric)	محصور دائرہ
inspection	معائنہ
instantaneous	لمحاتی، فوراً
insulated	حاجز شدہ
insulator	غیر موصل، حاجز
insulation	حجز
integer	عدد صحیح
integrable, absolutely integrable	قابل تکمل،مطلق قابل تکمل، متکامل، مطلق متکامل
integrability	متکاملیت
integral curve	منحنی تکمل
integral: definite integral, indefinite integral	قطعی تکمل، غیر قطعی تکمل
integral: line integral	خطی تکمل (khati is linear and nor line)، لکیری تکمل
integer: integer floor function, greatest integer function	بڑا ترین عدد صحیح، عدد صحیح زمین تفاعل
integer:  least integer function, integer ceiling function	کم ترین عدد صحیح تفاعل،  عدد صحیح چھت تفاعل
integral, integrals	تکملہ، تکمل، تکملات، تکملی
integral calculus	احصائے تکملی، احصائے تکملات
integral: repeated integral	بارہا تکمل
integral sign	علامت تکمل
integral: single, double, triple	ایک گنا، دو گن (دوہرا)، تین گنا تکمل (تہرا)
integrand	متکمل
integration (integral)	تکمل (تکملہ)
integration by parts, integrate	تکمل بالحصص، تکمیل کرنا
integration limits	تکمل کے حدود 
integration, to integrate	تکمل، تکمیل کرنا 
integration: tabular integration	جدولی تکمل
Integro-differential equation	تکمل و تفرقی مساوات
interaction	ردِ عمل، باہم عمل
interacting, noninteracting	باہم متعامل، باہم غیرمتعامل
intercept: x-intercept, y-intercept	قطعات: قطع ایکس، قطع وائے، محوری قطع
interchange	ادل بدل، باہمی مبادلہ
interest, continuous compound	مسلسل سود در سود
interference	مداخلت، خلل اندازی
interference: constructive, destructive	تباہ کن مداخلت،  تعمیری مداخلت
interlaced	باہم پیچاں
intermediate	درمیانی، درمیانہ
intermediate region	 درمیانہ خطہ
intermediate value property	متوسط قیمت خاصیت
Inter molecular, [intra molecular]	بین سالمی، [درون سالمی]، سالماتی
internal, external, [outer]	اندرونی، بیرونی، [باہری]
internal,[interior], in, inside, inner	اندرونی،[اندرون]، کے اندر، اندر، اندر والا
Interpolate, (interpolation); linear interpolation	باہمی تحریف؛ خطی باہمی تحریف، ورائی تحریف
interpretation	تشریح، تعبیر، مفہوم
intersection (set)	تقاطع
intersection: angle of intersection	زاویہ تقاطع
Interferometer, Fabry-Perot	طیف پیما، فیبری پیروٹ
interval: confidence interval	وقفہ اعتماد
interval; open interval	کھلا وقفہ، کھلا فاصلہ
interval: sub interval	ذیلی وقفہ
intra molecular	درون سالمی،   درون سالماتی
intravenous	درون وریدی
intrinsic impedance (wave)	قدرتی رکاوٹ
introduction	تعارف
into, onto (transformation)	میں، پر
intuition, intuitively	الہام، اندیشہ، الہاماً، الہامی، اندیشاً
invariance	عدم تغیر
invariant	غیر متغیر
inventor	موجد
inverse function	الٹ تفاعل
inverse law	مقلوب قانون، معکوس قانون
inverse matrix	ریاضی معکوس، معکوس قالب
inversely proportional, directly proportional	بالعکس متناسب، راست متناسب
inverse transform	الٹ بدل
inversion: population inversion	الٹ جانا، الٹنا [آبادی الٹنا ؟؟]
inverting, non-inverting input	مثبت مداخل، منفی مداخل
inverting amplifier, non-inverting amplifier	منفی ایمپلیفائر، مثبت ایمپلیفائر
investigation	تحقیق
involute	در پیچیدہ
ion	آئن، بارداریہ
ionization	بارداری عمل، بارداریت
ionization energy, second ionization energy	بارداریتی توانائی، دوم بارداریتی توانائی
input output (input-output)	اخراجات و پیداوار
Irish (of Ireland)	آئرستانی
Isaac Newton	اسحاق نیوٹن
isochore, [isochoric]	ہم حجم، [ہم حجمی]
isochromatic	ہم رنگ
isoclines (lines of equal inclination)	ہم میلان
isolated	تنہا
isomagnetic	ہم مقناطیسی
isomerism, [isomeric]	ہم ترکیبیت، [ہم ترکیبی]، ہم عنصریت، [ہم عنصر]
isometric	ہم پیما
isomorphous	ہم شکل
isosceles triangle	مساوی الساقین مثلث
isotherm	ہم حرارت خط، ہم تاپ
isotope, isotopic, [isotopy]	ہم جا، ہم جائی، [ہم جائیت]
isotropic, [isotropy]	غیر سمتی خاصیت، ہم سمت، [ہم سمتیت]
Issai Schur	اسائے شُر
italian	اطالوی
item	جزو، رکن، مد (مدات)
iteration	اعادہ، اعادوں، اعادے
iteration matrix	اعادہ قالب
iteration:method of false position	اعادہ: ترکیب مقام غیر حقیقی
iteration path	راہ توالی
iodine	آیوڈین
Jacobian (maths) Carl Gustav Jacob Jacobi	یعقوبی: کارل گستاف یعقوب یعقوبی
jagged surface	دنتی سطح
Jansky (radio astronomical SI unit)	جانسکی
jerk	چھٹکا
John	جان
John-Nicolson method; John Crank, Phyllis Nicolson	ترکیب کرینک نکلسن؛ جان کرینک، فلس نکلسن
John Wallis	جان والس
Joseph Liouville	یوسف لییویل
july	جولائی
joule	جاول
jump (discontinuity)	چھلانگ، جست
jupitor planet	مشتری
justified	جائز ہونا
kaon	کاون
kappa (greek alphabet)	کاہپا
Karl Weierstrass	کارل وائشسٹراس
Kelvin	کیلون
Kepler; Johannes Kepler	یوہانس کپلر
kick: inductive kick: kickback voltage	امالی لات
kilo	کِلو
Kilowatt-hour	کلو واٹ گھنٹہ؛ برقی توانائی کی تجارتی اکائی
kinematics	مجرد حرکیات
kinetic energy	حرکی توانائی
kink (quantum mech)	بل
Kirchoff: Gustav Robert Kirchoff	گستاف روبرٹ کرخوف
Kirchoff's current law, voltage law	کرخوف قانونِ رو، کرخوف قانونِ دباو
Kramers relation	رشتہ کرامرس
Kronecker delta, Leopold Kronecker	لیوپولڈ کرونیکر، کرونیکر ضرب، کرونیکر ڈیلٹا
Kronig-Penny model	کرانگ و پینی نمونہ
lab, laboratory	دارالتجربہ، تجزیہ گاہ، تجربہ گاہ
label	سرخی، نام ونشان،چھٹی، پرچہ، سرنامہ
label	نام دینا
ladder rungs	پایہ
lag, lead	آگے، پیچھے
lagging angle	زاویہ تاخیر
lagging angle, leading angle	آگے زاویہ، پیچھے زاویہ
lagging: inductive circuits are called lagging circuits	امالی ادوار پیچھے رہنے والے ادوار کہلاتے ہیں
Lagrange: Joseph Louis Lagrange (mathematician)	یوسف لوئی لیگرینج، [لگرانج]
Lagrange identity	لیگرینج مماثل، [لگرانج مماثل]
Lagrange multipliers	لیگرینج مضرب، [لگرانج مضرب]
Laguerre's equation: Edmond Nicolas Laguerre	ایڈمنڈ نیکولس لاگیغ
Laguerre: associated Laguerre polynomial	شریک لاگیغ کثیر رکنی
Lamb shift	لیمب انتقال 
lamination	باریک چادر یا پتری کو تہ در تہ رکھ کر بنایا جاتا ہے
Lande g factor	لنڈے جی جزو ضرب
Landau levels	لنڈو سطحیں
laplacian operator	لاپلاسی عامل
laplace transform; inverse laplace transform	لاپلاس بدل؛ الٹ لاپلاس بدل
Laplace transformation,  Laplacian	لاپلاس تبادلہ، لاپلاسی
largest and smallest values	سب سے بڑی اور سب سے چھوٹی قیمت
Larmor precession, precesses	لارمر استقبالی حرکت، استقبالی حرکت کرنا
laser	لیزر
LCAO (quantum mechanics)	جوہری مدارچوں کا خطی جوڑ
lateral, lateral area	پہلو کا، رقبہ پہلو
Latex	لاٹک
latitude	خط عرض بلد
lattice, [net]	شبکہ، جال، جنگلہ
laurent series: Pierre Alphonse Laurent	لوغوں تسلسل: پیّر الفنس لوغوں
LCM (least common multiple)	ذواضعاف اقل
lead (metal)	سیسہ
lead, lag	دیر، تاخیر، پہل
leading angle	زاویہ پہل
leading angle, lagging angle	آگے زاویہ، پیچھے زاویہ
least squares: method; normal equations	کمتر مربع: ترکیب؛ عمودی مساوات
capacitive circuits are called leading circuits	برق گیر کے ادوار کو آگے رہنے والے ادوار کہا جاتا ہے
leakage	رِستا رہا۔رِس رہا ہے۔ رِسنام  رساو
leakage inductance	رِستا امالہ
leakage magnetic flux	رِستا مقناطیسی رو
leakage reactance	 رِستا متعاملیت، رِستا متعاملہ
LED	نوری ڈایوڈ
Legendre function (Adrien Marie Legendre)	لیژانڈر تفاعل (اڈریان مری لیژانڈر)
Legendre: associated Legendre functions	شریک لیژانڈر تفاعل
legitimate	قانونی، قانوناً درست
Leibniz, Leibniz test: Gottfried Wilhelm von Leibniz	لیبنٹز، معیار لبنیٹز: گٹفرڈ ولہلم ون لیبنٹز
lemniscate	دو چشمہ
length	لمبائی
lepton	لپٹان ؟
